Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
B0CRC8	1	1	0	0	0	0
B0D6A4	1	1	0	0	0	0
B0D7B5	1	1	1	0	0	0
B0DZR6	1	0	0	0	0	0
B0DHX7	1	0	0	0	0	0
B0CSX9	1	0	0	0	0	0
B0CUF7	1	0	0	0	0	0
B0CUB9	1	0	0	0	0	0
B0CS39	1	1	1	0	0	0
B0CYG2	1	1	1	0	0	0
B0CSR3	1	1	0	0	0	0
B0CSF7	1	0	0	0	0	0
B0DVG8	1	1	1	0	0	0
B0CRU6	1	1	1	0	0	0
B0CSF3	1	0	0	0	0	0
B0D921	1	0	0	0	0	0
B0D6E3	1	0	0	0	0	0
B0D3U0	1	0	0	0	0	0
B0CNR9	1	1	1	0	0	0
B0D4J0	1	0	0	0	0	0
B0CPD6	1	0	0	0	0	0
B0CXU8	1	0	0	0	0	0
B0DA02	1	0	0	0	0	0
B0DYD2	1	1	0	0	0	0
B0DBK5	1	1	0	0	0	0
Potri.013G006000.1.p	0	0	0	0	0	0
B0DWT7	1	1	1	0	0	0
B0CQQ9	1	0	0	0	0	0
B0DFL9	1	1	0	0	0	0
B0DCY7	1	0	0	0	0	0
B0D349	1	0	1	0	0	0
B0CQW6	1	0	0	0	0	0
B0DER5	1	1	0	0	0	0
B0D7K9	1	1	1	0	0	0
B0DCN1	1	1	0	0	0	0
B0CQG1	1	0	0	0	0	0
B0D0W1	1	0	0	0	0	0
B0CRW6	1	0	0	0	0	0
B0DCT7	1	0	0	0	0	0
B0DQ38	1	1	1	0	0	0
B0CUY6	1	0	0	0	0	0
B0D8D0	1	1	0	0	0	0
B0CP89	1	0	0	0	0	0
B0D9P9	1	0	0	0	0	0
B0DHW7	1	1	1	0	0	0
B0DYR5	1	0	0	0	0	0
B0CV80	1	0	1	0	0	0
B0CRF7	1	1	0	0	0	0
B0DKD0	1	0	0	0	0	0
B0D0Y7	1	0	0	0	0	0
B0DUB0	1	0	0	0	0	0
B0D7R2	1	0	0	0	0	0
B0E1B2	1	1	0	0	0	0
B0DI85	1	0	0	0	0	0
B0D9T0	1	0	0	0	0	0
B0DB30	1	0	0	0	0	0
B0CS24	1	0	0	0	0	0
B0CQI5	1	0	0	0	0	0
B0DKN5	1	0	0	0	0	0
B0E213	1	1	0	0	0	0
B0CV97	1	0	0	0	0	0
B0DBT3	1	0	0	0	0	0
B0DRH1	1	0	0	0	0	0
B0D3R7	1	0	0	0	0	0
B0CYT3	1	0	0	0	0	0
B0D1Q1	1	1	0	0	0	0
B0DT84	1	1	1	0	0	0
B0D8E5	1	0	0	0	0	0
B0D1A1	1	0	1	0	0	0
B0DMS0	1	0	0	0	0	0
B0D123	1	0	0	0	0	0
B0D4Q6	1	0	0	0	0	0
B0DAE7	1	0	0	0	0	0
B0D3C8	1	1	1	0	0	0
B0CSY2	1	0	0	0	0	0
B0DIB5	0	0	0	0	0	0
B0CQK4	1	0	0	0	0	0
B0CR52	1	1	0	0	0	0
B0CST1	1	1	1	0	0	0
B0CQY1	1	0	0	0	0	0
B0DW46	1	0	0	0	0	0
B0CSQ2	1	0	1	0	0	0
B0DZY2	1	1	0	0	0	0
B0DAB4	1	0	0	0	0	0
B0E279	1	0	0	0	0	0
B0D3T6	1	0	0	0	0	0
B0CXU6	1	0	0	0	0	0
B0D6M5	1	0	1	0	0	0
Potri.001G004600.1.p	1	0	0	0	0	0
B0CS60	1	0	0	0	0	0
B0DBK0	1	0	0	0	0	0
B0DSX8	1	0	0	0	0	0
B0DH61	1	0	0	0	0	0
B0CYD8	1	0	0	0	0	0
B0CU00	1	0	0	0	0	0
B0D7Z6	1	1	0	0	0	0
B0CPT3	1	0	0	0	0	0
B0CNM6	1	0	0	0	0	0
Potri.001G042600.1.p	1	0	0	0	0	0
B0DDM7	1	0	0	0	0	0
B0CSB7	1	1	1	0	0	0
B0DR66	1	0	0	0	0	0
B0DWL7	1	0	0	0	0	0
B0D4Q5	1	1	1	0	0	0
B0CQS7	1	0	0	0	0	0
B0CV55	1	0	0	0	0	0
B0D6X4	1	0	0	0	0	0
B0D4W5	1	0	0	0	0	0
B0DSQ7	1	0	0	0	0	0
B0DIV9	1	0	0	0	0	0
B0DD76	1	1	1	0	0	0
B0D0P1	1	1	1	0	0	0
B0CY01	1	0	0	0	0	0
B0D8Q1	1	0	0	0	0	0
B0DSQ2	1	0	0	0	0	0
B0CPI5	1	1	0	0	0	0
B0DFL0	1	0	0	0	0	0
B0D9T2	1	1	0	0	0	0
B0DRP0	1	1	1	0	0	0
B0CU50	1	0	0	0	0	0
B0E0C6	1	0	0	0	0	0
B0CPR2	1	0	0	0	0	0
B0DQ39	1	0	0	0	0	0
B0DBR1	0	0	1	0	0	0
B0DMN8	1	0	0	0	0	0
B0DBA8	1	0	0	0	0	0
B0E159	1	0	0	0	0	0
B0CQ39	1	1	1	0	0	0
B0CXK4	1	0	0	0	0	0
B0CWU6	1	0	0	0	0	0
B0DZX6	1	0	0	0	0	0
B0D1I9	1	0	0	0	0	0
