Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
Potri.014G161300.1.p	0	0	1	0	0	0
Potri.003G161200.1.p	0	0	1	0	0	0
Potri.010G200500.1.p	0	0	0	1	1	0
Potri.005G130400.1.p	0	0	0	1	1	0
Potri.003G222400.1.p	0	0	0	1	1	0
Potri.002G138300.1.p	0	0	0	1	1	0
Potri.008G058500.1.p	0	0	0	1	1	0
Potri.007G033700.1.p	0	0	0	1	1	0
Potri.014G106400.9.p	0	0	0	1	1	0
Potri.001G256900.1.p	0	0	0	1	1	0
Potri.002G012000.1.p	0	0	0	1	1	0
11241	0	0	0	1	1	0
Potri.005G239300.1.p	0	0	0	1	1	0
Potri.002G253800.2.p	0	0	0	1	1	0
Potri.005G206200.1.p	0	0	0	1	1	0
Potri.004G213400.1.p	0	0	0	1	1	0
Potri.018G083900.2.p	0	0	0	1	0	0
Potri.001G438700.2.p	0	0	0	1	1	0
Potri.001G390400.2.p	0	0	0	1	1	0
Potri.011G148000.1.p	0	0	0	1	0	0
11240	0	0	0	1	1	0
Potri.007G105900.5.p	0	0	0	1	1	0
Potri.001G100100.1.p	0	0	0	1	1	0
Potri.008G084500.1.p	0	0	0	1	1	0
Potri.004G218400.1.p	0	0	0	1	1	0
Potri.010G089400.1.p	0	0	0	1	1	0
Potri.011G142200.1.p	0	0	0	1	0	0
Potri.008G055500.2.p	0	0	0	1	1	0
Potri.004G031500.1.p	0	0	0	1	1	0
Potri.009G052500.1.p	0	0	0	1	1	0
Potri.002G052400.2.p	0	0	0	1	1	0
Potri.009G009300.1.p	0	0	0	1	1	0
Potri.013G128300.5.p	0	0	0	1	1	0
Potri.002G157700.2.p	0	0	0	1	1	0
11265	0	0	0	1	1	0
Potri.015G105100.3.p	0	0	0	1	1	0
Potri.004G091200.1.p	0	0	0	1	1	0
Potri.004G100000.2.p	0	0	0	1	1	0
Potri.016G136100.1.p	0	0	0	1	1	0
Potri.015G062100.3.p	0	0	0	1	0	0
Potri.002G215100.4.p	0	0	0	1	1	0
Potri.005G063300.4.p	0	0	0	1	1	0
Potri.002G186300.1.p	0	0	0	1	1	0
Potri.005G058400.1.p	0	0	0	1	1	0
Potri.002G055700.2.p	0	0	0	1	1	0
Potri.016G108900.1.p	0	0	0	1	1	0
Potri.002G214800.2.p	0	0	0	1	1	0
Potri.005G186800.1.p	0	0	0	1	1	0
Potri.001G067800.1.p	0	0	0	1	1	0
Potri.002G065000.1.p	0	0	0	1	1	0
Potri.006G255600.1.p	0	0	0	1	1	0
Potri.014G068200.2.p	0	0	0	1	1	0
Potri.002G073000.1.p	0	0	0	1	1	0
Potri.003G121600.1.p	0	0	0	1	1	0
Potri.003G065300.1.p	0	0	0	1	1	0
Potri.001G081500.3.p	0	0	0	1	1	0
11228	0	0	0	1	1	0
Potri.001G110200.1.p	0	0	0	1	1	0
Potri.007G065700.1.p	0	0	0	1	0	0
Potri.010G161300.7.p	0	0	0	1	1	0
Potri.005G026500.1.p	0	0	0	1	1	0
11217	0	0	0	1	1	0
Potri.005G040800.1.p	0	0	0	1	1	0
Potri.017G072800.5.p	0	0	0	1	1	0
Potri.019G087300.1.p	0	0	0	1	1	0
Potri.013G102100.1.p	0	0	0	1	1	0
Potri.005G191400.4.p	0	0	0	1	1	0
Potri.017G041700.7.p	0	0	0	1	1	0
Potri.002G046400.2.p	0	0	0	1	1	0
Potri.T099400.1.p	0	0	0	1	1	0
Potri.002G256400.2.p	0	0	0	1	1	0
Potri.015G052200.5.p	0	0	0	1	1	0
Potri.014G063400.1.p	0	0	0	1	0	0
Potri.010G051700.3.p	0	0	0	0	1	0
Potri.008G043100.1.p	0	0	0	1	1	0
Potri.003G091500.2.p	0	0	0	1	1	0
Potri.016G028000.1.p	0	0	0	1	1	0
Potri.001G142600.1.p	0	0	0	1	1	0
Potri.015G066000.4.p	0	0	0	1	0	0
Potri.018G055300.1.p	0	0	0	1	1	0
Potri.002G083500.4.p	0	0	0	1	1	0
Potri.018G092732.1.p	0	0	0	1	1	0
Potri.001G351400.1.p	0	0	0	1	1	0
Potri.001G209600.4.p	0	0	0	1	1	0
Potri.010G066900.1.p	0	0	0	1	0	0
Potri.008G200100.3.p	0	0	0	1	1	0
Potri.016G135400.1.p	0	0	0	1	1	0
Potri.003G128600.2.p	0	0	0	1	1	0
Potri.006G087700.1.p	0	0	0	1	0	0
Potri.002G150700.1.p	0	0	0	1	1	0
Potri.006G059200.1.p	0	0	0	1	1	0
Potri.010G219100.1.p	0	0	0	1	1	0
Potri.010G096000.1.p	0	0	0	1	0	0
Potri.017G108300.1.p	0	0	0	1	1	0
Potri.012G018100.1.p	0	0	0	1	0	0
Potri.004G162400.1.p	0	0	0	1	1	0
Potri.009G041100.1.p	0	0	0	1	1	0
Potri.004G086500.1.p	0	0	0	1	1	0
Potri.003G123101.1.p	0	0	0	1	0	0
Potri.012G139500.1.p	0	0	0	1	0	0
Potri.005G040100.3.p	0	0	0	1	1	0
Potri.007G034300.1.p	0	0	0	1	1	0
Potri.008G074600.7.p	0	0	0	1	0	0
11251	0	0	0	1	0	0
Potri.015G143600.1.p	0	0	0	1	0	0
Potri.014G175600.2.p	0	0	0	1	1	0
Potri.008G151600.1.p	0	0	0	1	0	0
Potri.010G219500.2.p	0	0	0	1	1	0
Potri.010G161200.1.p	0	0	0	1	1	0
Potri.011G032900.3.p	0	0	0	1	1	0
Potri.002G056300.1.p	0	0	0	1	1	0
Potri.019G028200.1.p	0	0	0	1	1	0
Potri.010G027400.3.p	0	0	0	1	0	0
Potri.013G142800.1.p	0	0	0	1	0	0
Potri.014G071700.1.p	0	0	0	1	1	0
Potri.001G244800.1.p	0	0	0	1	1	0
Potri.001G002500.2.p	0	0	0	1	1	0
Potri.003G089300.2.p	0	0	0	1	1	0
Potri.006G263300.2.p	0	0	0	1	0	0
Potri.001G136900.2.p	0	0	0	1	0	0
Potri.001G249600.1.p	0	0	0	1	1	0
Potri.018G076200.1.p	0	0	0	1	1	0
Potri.010G221100.4.p	0	0	0	1	1	0
Potri.002G262300.2.p	0	0	0	1	0	0
Potri.011G006800.1.p	0	0	0	1	1	0
Potri.014G174400.1.p	0	0	0	1	0	0
Potri.005G226500.10.p	0	0	0	0	0	0
Potri.018G032100.1.p	0	0	0	1	1	0
Potri.003G052500.1.p	0	0	0	1	0	0
Potri.010G238300.1.p	0	0	0	1	1	0
Potri.006G202000.1.p	0	0	0	1	0	0
Potri.005G173800.2.p	0	0	0	1	0	0
B0DA38	0	0	0	1	0	0
Potri.006G142600.1.p	0	0	0	1	1	0
Potri.011G109500.1.p	0	0	0	0	1	0
Potri.003G192800.1.p	0	0	0	0	1	0
Potri.017G114600.1.p	0	0	0	0	1	0
Potri.004G162966.1.p	0	0	0	0	1	0
Potri.005G246100.1.p	0	0	0	0	1	0
Potri.004G175800.2.p	0	0	0	0	1	0
Potri.005G200300.1.p	0	0	0	0	1	0
Potri.019G072500.1.p	0	0	0	0	1	0
Potri.002G195200.1.p	0	0	0	0	1	0
Potri.018G102700.1.p	0	0	0	0	1	0
Potri.004G123700.2.p	0	0	0	0	1	0
Potri.002G016000.1.p	0	0	0	0	1	0
Potri.007G055600.1.p	0	0	0	0	1	0
Potri.008G202100.2.p	0	0	0	0	1	0
Potri.001G304000.1.p	0	0	0	0	1	0
Potri.003G099400.3.p	0	0	0	0	1	0
Potri.018G079700.1.p	0	0	0	0	1	0
Potri.013G027900.1.p	0	0	0	0	1	0
Potri.005G254100.7.p	0	0	0	0	1	0
Potri.003G036600.4.p	0	0	0	0	1	0
Potri.009G065900.1.p	0	0	0	0	1	0
Potri.016G096600.1.p	0	0	0	0	1	0
Potri.018G063200.5.p	0	0	0	0	1	0
Potri.007G015500.1.p	0	0	0	0	1	0
Potri.001G144800.1.p	0	0	0	0	1	0
Potri.006G082300.1.p	0	0	0	0	1	0
Potri.017G152700.1.p	0	0	0	0	1	0
Potri.001G348900.18.p	0	0	0	0	1	0
Potri.006G088200.1.p	0	0	0	0	1	0
Potri.004G145800.1.p	0	0	0	0	0	0
Potri.014G140500.2.p	0	0	0	0	1	0
Potri.009G028001.1.p	0	0	0	0	1	0
Potri.004G173700.1.p	0	0	0	0	1	0
Potri.002G146300.1.p	0	0	0	0	1	0
Potri.015G040200.1.p	0	0	0	0	1	0
Potri.014G058500.1.p	0	0	0	0	1	0
Potri.014G010500.1.p	0	0	0	0	1	0
Potri.014G096500.2.p	0	0	0	0	0	0
Potri.003G157100.2.p	0	0	0	0	1	0
Potri.012G020700.2.p	0	0	0	0	1	0
Potri.008G121100.1.p	0	0	0	0	1	0
Potri.009G037000.1.p	0	0	0	0	1	0
Potri.003G126100.1.p	0	0	0	0	1	0
Potri.006G067600.1.p	0	0	0	0	1	0
Potri.010G036900.1.p	0	0	0	0	1	0
Potri.015G062700.2.p	0	0	0	0	0	0
Potri.006G275000.1.p	0	0	0	0	1	0
Potri.015G058600.2.p	0	0	0	0	1	0
Potri.006G231800.1.p	0	0	0	0	1	0
Potri.018G030700.1.p	0	0	0	0	0	1
Potri.014G114700.1.p	0	0	0	0	0	1
Potri.001G462800.1.p	0	0	0	0	0	1
Potri.012G006400.1.p	0	0	0	0	0	1
Potri.002G111900.1.p	0	0	0	0	0	1
Potri.001G423500.1.p	0	0	0	0	0	1
Potri.006G130900.1.p	0	0	0	0	0	1
Potri.001G018200.1.p	0	0	0	0	0	1
Potri.010G196300.1.p	0	0	0	0	0	1
Potri.017G059300.1.p	0	0	0	0	0	1
Potri.017G059400.1.p	0	0	0	0	0	1
Potri.001G202800.1.p	0	0	0	0	0	1
Potri.013G106000.1.p	0	0	0	0	0	1
Potri.010G159800.2.p	0	0	0	0	0	1
Potri.004G153200.3.p	0	0	0	0	0	1
Potri.015G003100.4.p	0	0	0	0	0	1
Potri.007G106300.1.p	0	0	0	0	0	1
Potri.002G018600.2.p	0	0	0	0	0	1
Potri.009G153900.1.p	0	0	0	0	0	1
Potri.014G162800.1.p	0	0	0	0	0	1
Potri.009G095800.1.p	0	0	0	0	0	1
Potri.008G061800.1.p	0	0	0	0	0	1
Potri.017G029000.4.p	0	0	0	0	0	1
Potri.001G246900.1.p	0	0	0	0	0	1
Potri.004G155300.2.p	0	0	0	0	0	1
Potri.005G215800.1.p	0	0	0	0	0	1
Potri.001G036900.1.p	0	0	0	0	0	1
Potri.001G320400.2.p	0	0	0	0	0	1
Potri.002G120400.1.p	0	0	0	0	0	1
